Model,Round,AvgF1,00-WebDDoS(f1),00-WebDDoS(loss),01-LDAP(f1),01-LDAP(loss),02-Portmap(f1),02-Portmap(loss),03-DNS(f1),03-DNS(loss),04-UDPLag(f1),04-UDPLag(loss),05-NTP(f1),05-NTP(loss),06-SNMP(f1),06-SNMP(loss),07-SSDP(f1),07-SSDP(loss),08-Syn(f1),08-Syn(loss),09-TFTP(f1),09-TFTP(loss),10-UDP(f1),10-UDP(loss),11-NetBIOS(f1),11-NetBIOS(loss),12-MSSQL(f1),12-MSSQL(loss)
mlp,21,0.87231,0.85714,0.00901,0.90625,0.03083,0.91026,0.20381,0.97211,0.03697,0.81113,0.00518,0.96277,0.05882,0.94338,0.10426,0.82836,0.00429,0.98630,0.00266,0.93424,0.01381,0.81948,0.00561,0.90599,0.11490,0.49706,0.23216
mlp,22,0.87231,0.85714,0.00614,0.90625,0.03083,0.91026,0.20381,0.97211,0.03697,0.98299,0.00536,0.96106,0.05882,0.94338,0.10426,0.99809,0.00465,0.50465,0.00266,0.90694,0.01381,0.99806,0.00580,0.90616,0.11490,0.48608,0.11668
mlp,23,0.89923,0.85714,0.00777,0.90625,0.03083,0.91026,0.20381,0.97211,0.03697,0.98299,0.00536,0.96277,0.05882,0.94338,0.10426,0.99787,0.00465,0.98608,0.00257,0.93418,0.01381,0.99787,0.00580,0.90512,0.11490,0.32891,0.16750
mlp,24,0.86154,0.85714,0.00559,0.90625,0.03083,0.91026,0.20381,0.97211,0.03697,0.98299,0.00536,0.96277,0.05882,0.94338,0.10426,0.99787,0.00465,0.50585,0.00257,0.90570,0.01381,0.99779,0.00580,0.90523,0.11490,0.33904,0.09784
mlp,25,0.81308,0.85714,0.00564,0.90625,0.03083,0.91026,0.20381,0.96800,0.03697,0.81113,0.00536,0.95986,0.05882,0.94338,0.10426,0.82279,0.00465,0.50824,0.00256,0.90555,0.01381,0.81570,0.00580,0.90483,0.11490,0.24516,0.10877
mlp,26,0.79923,0.00000,0.00564,0.90625,0.03083,0.91026,0.20381,0.97211,0.03697,0.81928,0.00516,0.95986,0.05882,0.94338,0.10426,0.82927,0.00465,0.98619,0.00251,0.93438,0.01381,0.81984,0.00580,0.90547,0.11490,0.39745,0.10906
mlp,27,0.81077,0.85714,0.04824,0.90625,0.03083,0.91026,0.20381,0.96800,0.03697,0.81113,0.00516,0.95528,0.05882,0.94256,0.10426,0.82259,0.00465,0.50393,0.00251,0.90545,0.01381,0.81559,0.00580,0.90476,0.11490,0.23465,0.10320
mlp,28,0.84462,0.85714,0.04824,0.90625,0.03083,0.91026,0.20381,0.97619,0.03697,0.81113,0.00516,0.96539,0.05882,0.94384,0.10426,0.82456,0.00465,0.50513,0.00248,0.90588,0.01381,0.81695,0.00580,0.90685,0.11490,0.63086,0.42201
mlp,29,0.82308,0.00000,0.04824,0.90625,0.03083,0.91026,0.20381,0.97619,0.03697,0.99142,0.00494,0.95993,0.05882,0.94384,0.10426,0.99872,0.00416,0.50417,0.00244,0.90898,0.01381,0.99808,0.00508,0.90740,0.11490,0.69160,0.17303
mlp,30,0.86231,0.85714,0.02164,0.90625,0.03083,0.91026,0.20381,0.97211,0.03697,0.98299,0.00494,0.96106,0.05882,0.94256,0.10426,0.99766,0.00416,0.50633,0.00239,0.90575,0.01381,0.99768,0.00508,0.90517,0.11490,0.35022,0.36655
mlp,31,0.86462,0.85714,0.00742,0.90625,0.03083,0.91026,0.20381,0.97211,0.03697,0.98299,0.00494,0.96106,0.05882,0.94256,0.10426,0.99745,0.00416,0.50824,0.00239,0.90575,0.01381,0.99760,0.00508,0.90524,0.11490,0.37738,0.22033
mlp,32,0.88923,0.85714,0.00692,0.90625,0.03083,0.91026,0.20381,0.97619,0.03697,0.98299,0.00494,0.96198,0.05882,0.94302,0.10426,0.99766,0.00416,0.50911,0.00236,0.90680,0.01381,0.99773,0.00508,0.90704,0.11490,0.68830,0.42513
*mlp,33,0.92308,0.85714,0.00702,0.90625,0.03083,0.91026,0.20381,0.97619,0.03697,0.98299,0.00494,0.96198,0.05882,0.94302,0.10426,0.99745,0.00416,0.98642,0.00233,0.93409,0.01381,0.99762,0.00508,0.90660,0.11490,0.62744,0.13016
mlp,34,0.91615,0.85714,0.00839,0.90625,0.01869,0.92405,0.12769,0.98425,0.03697,0.98986,0.00494,0.96296,0.05882,0.95304,0.10426,0.99787,0.00416,0.50632,0.00233,0.90588,0.01381,0.99881,0.00508,0.91690,0.10330,0.99842,0.16080
*mlp,35,0.95462,0.85714,0.00873,0.90625,0.02192,0.91026,0.12769,0.98024,0.03697,0.98986,0.00494,0.97650,0.05882,0.94394,0.10426,0.99787,0.00416,0.98687,0.00231,0.93711,0.00739,0.99873,0.00508,0.90981,0.10330,0.99801,0.16080
*mlp,36,0.95769,0.85714,0.00402,0.90625,0.02893,0.93082,0.13163,0.98425,0.03697,0.98986,0.00494,0.97650,0.05882,0.95304,0.12543,0.99787,0.00416,0.98610,0.00231,0.93754,0.00683,0.99881,0.00508,0.91746,0.08045,0.99842,0.16080
*mlp,37,0.95923,0.85714,0.00461,0.92308,0.02784,0.93082,0.12762,0.98425,0.03697,0.98986,0.00494,0.98009,0.05882,0.96058,0.13873,0.99470,0.00416,0.98555,0.00231,0.93848,0.00672,0.99879,0.00508,0.93416,0.09448,0.99834,0.16080
*mlp,38,0.98000,0.85714,0.00498,1.00000,0.02445,0.98204,0.12685,0.98425,0.03697,0.98157,0.00494,0.98094,0.05882,0.99136,0.13873,0.99449,0.00416,0.98512,0.00231,0.99246,0.00677,0.99857,0.00508,0.99685,0.08327,0.99817,0.16080
mlp,39,0.91692,0.85714,0.00345,0.90625,0.02445,0.93082,0.12685,0.98425,0.03697,0.98157,0.00494,0.98179,0.05882,0.94859,0.13873,0.99428,0.00416,0.50726,0.00231,0.90846,0.00677,0.99836,0.00508,0.91844,0.08327,0.99768,0.16080
mlp,40,0.96000,0.89655,0.00275,0.90625,0.03559,0.91026,0.12685,0.98024,0.03697,0.98157,0.00494,0.98094,0.05882,0.93990,0.13873,0.99449,0.00416,0.98634,0.00221,0.99396,0.00504,0.99841,0.00508,0.90953,0.08327,0.99764,0.16080
mlp,41,0.91846,0.85714,0.00366,0.90625,0.03214,0.93082,0.12890,0.98425,0.03697,0.98986,0.00494,0.97735,0.05882,0.94854,0.06509,0.99576,0.00416,0.50854,0.00221,0.91017,0.00504,0.99841,0.00508,0.91726,0.24763,0.99826,0.16080
