Model,Round,AvgF1,00-WebDDoS(f1),00-WebDDoS(loss),01-LDAP(f1),01-LDAP(loss),02-Portmap(f1),02-Portmap(loss),03-DNS(f1),03-DNS(loss),04-UDPLag(f1),04-UDPLag(loss),05-NTP(f1),05-NTP(loss),06-SNMP(f1),06-SNMP(loss),07-SSDP(f1),07-SSDP(loss),08-Syn(f1),08-Syn(loss),09-TFTP(f1),09-TFTP(loss),10-UDP(f1),10-UDP(loss),11-NetBIOS(f1),11-NetBIOS(loss),12-MSSQL(f1),12-MSSQL(loss)
*mlp,11,0.78308,0.81481,0.01048,0.90625,0.76628,0.91026,0.24328,0.97211,0.03896,0.80972,0.01038,0.76614,0.06692,0.94338,0.10426,0.80972,0.01061,0.50744,0.00514,0.73437,0.00487,0.79918,0.00948,0.90513,0.12241,0.30089,0.33473
*mlp,12,0.82308,0.00000,0.01048,0.90625,0.76628,0.91026,0.24328,0.97619,0.03896,0.81928,0.01038,0.94888,0.07707,0.94384,0.10426,0.82341,0.01061,0.98597,0.00468,0.93390,0.01018,0.81578,0.00948,0.90752,0.12241,0.71833,0.44770
*mlp,13,0.86538,0.85714,0.01926,0.90625,0.76628,0.91026,0.24328,0.97211,0.03896,0.98132,0.01016,0.96021,0.07707,0.94338,0.10426,0.99787,0.01061,0.50895,0.00468,0.90536,0.01018,0.99776,0.01035,0.90545,0.12241,0.38901,0.23480
*mlp,14,0.86769,0.85714,0.01596,0.90625,0.76628,0.91026,0.24328,0.97211,0.03896,0.80952,0.01016,0.95922,0.07707,0.94297,0.10426,0.82456,0.01061,0.98653,0.00331,0.93365,0.01018,0.81685,0.01035,0.90583,0.12241,0.44879,0.25086
mlp,15,0.86462,0.81481,0.01219,0.90625,0.76628,0.91026,0.24328,0.97211,0.03896,0.98635,0.00744,0.95767,0.07707,0.94338,0.10426,0.99872,0.00738,0.50840,0.00331,0.90612,0.01018,0.99803,0.00771,0.90574,0.12241,0.42371,0.16665
*mlp,16,0.88769,0.85714,0.00563,0.90625,0.76628,0.91026,0.24328,0.96386,0.03896,0.98299,0.00744,0.96106,0.07707,0.94338,0.10426,0.99809,0.00738,0.98653,0.00319,0.93400,0.01018,0.99787,0.00771,0.90482,0.12241,0.19968,0.39157
*mlp,17,0.89000,0.85714,0.00737,0.90625,0.76628,0.91026,0.24328,0.96800,0.03896,0.98132,0.00744,0.96106,0.07707,0.94338,0.10426,0.99766,0.00738,0.98631,0.00319,0.93365,0.01018,0.99768,0.00771,0.90482,0.12241,0.21986,0.15534
mlp,18,0.81000,0.85714,0.00787,0.90625,0.76628,0.91026,0.24328,0.96800,0.03896,0.80952,0.00744,0.95830,0.07707,0.94338,0.10426,0.82456,0.00738,0.50919,0.00319,0.90529,0.01018,0.81658,0.00771,0.90479,0.12241,0.20796,0.11956
mlp,19,0.81077,0.00000,0.00787,0.90625,0.76628,0.91026,0.24328,0.97211,0.03896,0.98973,0.00640,0.95815,0.07707,0.94338,0.10426,0.99894,0.00738,0.50911,0.00305,0.90600,0.01018,0.99795,0.00771,0.90625,0.12241,0.52811,0.17911
mlp,20,0.80462,0.85714,0.00196,0.90625,0.76628,0.91026,0.24328,0.96386,0.03896,0.80952,0.00640,0.95179,0.07707,0.94256,0.10426,0.82259,0.00738,0.51109,0.00297,0.90522,0.01018,0.81556,0.00771,0.90458,0.12241,0.15891,0.21058
